Date,Price,Open,High,Low
2023-02-01,23723.0,23135.0,23802.0,22800.0
2023-01-31,23135.0,22837.0,23286.0,22730.0
2023-01-30,22837.0,23746.0,23784.0,22516.0
2023-01-29,23746.0,23029.0,23962.0,23000.0
2023-01-28,23029.0,23067.0,23181.0,22885.0
2023-01-27,23067.0,23004.0,23475.0,22539.0
2023-01-26,23004.0,23045.0,23273.0,22859.0
2023-01-25,23045.0,22627.0,23812.0,22334.0
2023-01-24,22627.0,22910.0,23154.0,22479.0
2023-01-23,22910.0,22713.0,23169.0,22520.0
2023-01-22,22713.0,22766.0,23071.0,22321.0
2023-01-21,22766.0,22672.0,23312.0,22443.0
2023-01-20,22672.0,21080.0,22742.0,20879.0
2023-01-19,21080.0,20678.0,21181.0,20670.0
2023-01-18,20678.0,21136.0,21632.0,20435.0
2023-01-17,21136.0,21196.0,21518.0,20905.0
2023-01-16,21196.0,20882.0,21433.0,20651.0
2023-01-15,20882.0,20963.0,21048.0,20583.0
2023-01-14,20963.0,19933.0,21300.0,19897.0
2023-01-13,19933.0,18857.0,19989.0,18725.0
2023-01-12,18857.0,17946.0,19070.0,17920.0
2023-01-11,17946.0,17445.0,17998.0,17319.0
2023-01-10,17445.0,17188.0,17503.0,17155.0
2023-01-09,17188.0,17139.0,17399.0,17123.0
2023-01-08,17139.0,16958.0,17174.0,16930.0
2023-01-07,16958.0,16967.0,16990.0,16925.0
2023-01-06,16967.0,16842.0,17045.0,16705.0
2023-01-05,16842.0,16868.0,16888.0,16778.0
2023-01-04,16868.0,16689.0,16998.0,16671.0
2023-01-03,16689.0,16690.0,16807.0,16625.0
2023-01-02,16690.0,16643.0,16802.0,16584.0
2023-01-01,16643.0,16564.0,16644.0,16517.0
2022-12-31,16564.0,16618.0,16660.0,16515.0
2022-12-30,16618.0,16658.0,16659.0,16380.0
2022-12-29,16658.0,16558.0,16675.0,16505.0
2022-12-28,16558.0,16719.0,16796.0,16490.0
2022-12-27,16719.0,16946.0,16987.0,16631.0
2022-12-26,16946.0,16847.0,16958.0,16814.0
2022-12-25,16847.0,16864.0,16874.0,16760.0
2022-12-24,16864.0,16802.0,16880.0,16802.0
2022-12-23,16802.0,16838.0,16942.0,16788.0
2022-12-22,16838.0,16845.0,16873.0,16588.0
2022-12-21,16845.0,16925.0,16934.0,16755.0
2022-12-20,16925.0,16448.0,17057.0,16413.0
2022-12-19,16448.0,16757.0,16825.0,16320.0
2022-12-18,16757.0,16793.0,16851.0,16680.0
2022-12-17,16793.0,16642.0,16811.0,16609.0
2022-12-16,16642.0,17372.0,17543.0,16554.0
2022-12-15,17372.0,17810.0,17867.0,17311.0
2022-12-14,17810.0,17785.0,18373.0,17688.0
2022-12-13,17785.0,17228.0,17981.0,17107.0
2022-12-12,17228.0,17109.0,17258.0,16899.0
2022-12-11,17109.0,17132.0,17294.0,17095.0
2022-12-10,17132.0,17135.0,17232.0,17109.0
2022-12-09,17135.0,17246.0,17326.0,17090.0
2022-12-08,17246.0,16844.0,17321.0,16759.0
2022-12-07,16844.0,17096.0,17137.0,16720.0
2022-12-06,17096.0,16974.0,17109.0,16917.0
2022-12-05,16974.0,17128.0,17420.0,16886.0
2022-12-04,17128.0,16890.0,17199.0,16886.0
2022-12-03,16890.0,17091.0,17135.0,16870.0
2022-12-02,17091.0,16980.0,17100.0,16808.0
2022-12-01,16980.0,17182.0,17270.0,16872.0
2022-11-30,17182.0,16452.0,17238.0,16446.0
2022-11-29,16452.0,16215.0,16537.0,16102.0
2022-11-28,16215.0,16432.0,16487.0,16014.0
2022-11-27,16432.0,16459.0,16600.0,16422.0
2022-11-26,16459.0,16519.0,16697.0,16390.0
2022-11-25,16519.0,16606.0,16617.0,16354.0
2022-11-24,16606.0,16619.0,16792.0,16468.0
2022-11-23,16619.0,16215.0,16676.0,16168.0
2022-11-22,16215.0,15766.0,16279.0,15616.0
2022-11-21,15766.0,16281.0,16281.0,15501.0
2022-11-20,16281.0,16695.0,16742.0,16185.0
2022-11-19,16695.0,16645.0,16811.0,16600.0
2022-11-18,16634.0,16827.0,16837.0,16550.0
2022-11-17,16705.0,16676.0,16735.0,16413.0
2022-11-16,16531.0,16886.0,17002.0,16384.0
2022-11-15,16886.0,16627.0,17124.0,16554.0
2022-11-14,16627.0,16345.0,17188.0,15829.0
2022-11-13,16345.0,16812.0,16956.0,16257.0
2022-11-12,16812.0,17045.0,17105.0,16637.0
2022-11-11,17045.0,17579.0,17665.0,16403.0
2022-11-10,17579.0,15907.0,18155.0,15760.0
2022-11-09,15907.0,18557.0,18597.0,15603.0
2022-11-08,18557.0,20610.0,20692.0,16950.0
2022-11-07,20610.0,20932.0,21083.0,20423.0
2022-11-06,20932.0,21313.0,21378.0,20913.0
2022-11-05,21313.0,21168.0,21470.0,21105.0
2022-11-04,21168.0,20223.0,21290.0,20206.0
2022-11-03,20223.0,20168.0,20403.0,20073.0
2022-11-02,20168.0,20500.0,20816.0,20080.0
2022-11-01,20500.0,20509.0,20689.0,20357.0
2022-10-31,20509.0,20647.0,20843.0,20268.0
2022-10-30,20647.0,20833.0,20949.0,20535.0
2022-10-29,20833.0,20611.0,21074.0,20576.0
2022-10-28,20611.0,20303.0,20764.0,20055.0
2022-10-27,20303.0,20788.0,20892.0,20226.0
2022-10-26,20788.0,20104.0,21011.0,20077.0
2022-10-25,20104.0,19340.0,20430.0,19254.0
2022-10-24,19340.0,19585.0,19601.0,19175.0
2022-10-23,19585.0,19219.0,19707.0,19105.0
2022-10-22,19219.0,19175.0,19272.0,19125.0
2022-10-21,19175.0,19057.0,19260.0,18680.0
2022-10-20,19057.0,19132.0,19345.0,18940.0
2022-10-19,19132.0,19334.0,19361.0,19098.0
2022-10-18,19334.0,19554.0,19705.0,19106.0
2022-10-17,19554.0,19266.0,19683.0,19168.0
2022-10-16,19269.0,19072.0,19428.0,19068.0
2022-10-15,19072.0,19187.0,19227.0,18993.0
2022-10-14,19187.0,19387.0,19946.0,19103.0
2022-10-13,19387.0,19158.0,19503.0,18200.0
2022-10-12,19158.0,19062.0,19232.0,19026.0
2022-10-11,19062.0,19128.0,19260.0,18870.0
2022-10-10,19128.0,19444.4,19527.0,19056.0
2022-10-09,19444.4,19418.0,19551.4,19326.0
2022-10-08,19418.0,19533.0,19621.4,19275.0
2022-10-07,19533.0,19957.0,20053.0,19336.0
2022-10-06,19957.0,20156.0,20444.0,19866.0
2022-10-05,20156.0,20340.0,20363.0,19756.8
2022-10-04,20340.0,19638.0,20470.0,19510.0
2022-10-03,19638.0,19066.0,19688.0,18985.0
2022-10-02,19066.0,19317.0,19396.0,18945.0
2022-10-01,19317.0,19430.0,19485.0,19172.0
2022-09-30,19430.0,19588.0,20171.0,19201.0
2022-09-29,19588.0,19419.0,19651.3,18863.0
2022-09-28,19419.0,19096.6,19783.0,18495.0
2022-09-27,19096.6,19229.5,20373.0,18856.0
2022-09-26,19229.5,18817.0,19326.0,18699.0
2022-09-25,18817.0,18935.0,19179.0,18647.0
2022-09-24,18935.0,19298.8,19314.0,18822.0
2022-09-23,19298.8,19413.0,19512.0,18562.0
2022-09-22,19413.0,18476.5,19502.0,18378.8
2022-09-21,18476.5,18886.6,19888.0,18214.0
2022-09-20,18886.6,19544.5,19634.0,18769.0
2022-09-19,19544.5,19424.0,19684.0,18318.0
2022-09-18,19424.0,20127.0,20127.0,19356.0
2022-09-17,20127.0,19809.9,20206.0,19770.0
2022-09-16,19809.9,19717.0,19894.0,19350.0
2022-09-15,19717.0,20231.0,20329.0,19556.0
2022-09-14,20231.0,20181.0,20511.0,19642.0
2022-09-13,20181.0,22395.0,22746.0,19950.0
2022-09-12,22395.0,21850.0,22473.0,21561.0
2022-09-11,21826.0,21657.0,21826.0,21369.0
2022-09-10,21648.0,21375.0,21802.0,21143.8
2022-09-09,21375.0,19322.0,21576.0,19304.4
2022-09-08,19322.0,19280.0,19447.0,19048.0
2022-09-07,19279.5,18790.0,19457.0,18561.0
2022-09-06,18790.0,19789.0,20183.0,18691.8
2022-09-05,19788.0,20002.0,20045.0,19646.0
2022-09-04,20002.0,19835.0,20020.0,19590.0
2022-09-03,19835.0,19973.0,20061.9,19667.0
2022-09-02,19973.0,20134.0,20441.0,19770.0
2022-09-01,20134.0,20058.0,20212.0,19587.0
2022-08-31,20058.0,19812.0,20483.0,19812.0
2022-08-30,19812.0,20308.0,20574.0,19574.0
2022-08-29,20308.0,19572.0,20412.0,19566.3
2022-08-28,19557.8,20044.0,20163.0,19540.0
2022-08-27,20036.0,20257.9,20362.0,19852.0
2022-08-26,20257.9,21563.1,21866.0,20134.0
2022-08-25,21563.1,21365.6,21809.0,21320.0
2022-08-24,21365.6,21527.0,21861.0,21160.0
2022-08-23,21527.0,21395.0,21671.0,20909.0
2022-08-22,21395.0,21511.7,21527.0,20910.0
2022-08-21,21510.0,21141.0,21772.9,21076.6
2022-08-20,21141.0,20835.0,21366.0,20769.0
2022-08-19,20839.0,23196.7,23204.0,20793.0
2022-08-18,23196.7,23335.0,23599.0,23124.0
2022-08-17,23335.0,23856.0,24433.0,23180.0
2022-08-16,23856.0,24094.0,24234.1,23686.0
2022-08-15,24094.0,24300.0,25203.0,23776.0
2022-08-14,24300.0,24425.0,25003.0,24151.0
2022-08-13,24425.0,24395.2,24880.0,24307.0
2022-08-12,24395.2,23931.5,24441.0,23603.0
2022-08-11,23931.5,23954.2,24877.0,23861.0
2022-08-10,23954.2,23142.0,24215.0,22665.0
2022-08-09,23141.0,23817.0,23912.0,22888.0
2022-08-08,23817.0,23177.9,24224.0,23164.0
2022-08-07,23177.9,22924.0,23397.0,22837.0
2022-08-06,22924.0,23311.0,23341.3,22903.0
2022-08-05,23311.0,22611.7,23462.0,22596.0
2022-08-04,22611.7,22813.9,23210.1,22390.0
2022-08-03,22813.9,22986.0,23626.6,22684.0
2022-08-02,22984.0,23259.0,23438.9,22676.0
2022-08-01,23259.0,23294.0,23499.0,22882.0
2022-07-31,23294.0,23639.0,24211.0,23233.0
2022-07-30,23639.0,23764.0,24641.0,23520.0
2022-07-29,23764.0,23851.6,24426.0,23456.0
2022-07-28,23851.6,22951.0,24172.0,22601.0
2022-07-27,22951.0,21271.0,23098.0,21056.0
2022-07-26,21271.0,21302.6,21329.0,20738.0
2022-07-25,21302.6,22579.2,22663.3,21262.0
2022-07-24,22579.2,22446.0,23001.0,22262.0
2022-07-23,22446.0,22675.9,22993.0,21949.0
2022-07-22,22675.9,23151.8,23729.0,22517.0
2022-07-21,23151.8,23209.0,23409.0,22350.0
2022-07-20,23209.0,23398.0,24276.0,22915.0
2022-07-19,23398.0,22476.0,23783.0,21599.0
2022-07-18,22476.0,20781.0,22749.0,20763.0
2022-07-17,20781.0,21224.0,21666.0,20751.0
2022-07-16,21224.0,20820.0,21590.0,20477.0
2022-07-15,20816.0,20582.0,21190.0,20375.7
2022-07-14,20578.0,20246.0,20880.0,19647.0
2022-07-13,20246.0,19310.5,20282.7,18926.8
2022-07-12,19310.5,19945.0,20038.2,19243.9
2022-07-11,19945.0,20854.6,20865.2,19876.0
2022-07-10,20854.6,21575.8,21590.1,20678.0
2022-07-09,21575.8,21600.0,21967.0,21335.5
2022-07-08,21600.0,21620.0,22405.0,21198.0
2022-07-07,21620.0,20557.1,21809.0,20253.0
2022-07-06,20557.1,20169.0,20665.6,19765.2
2022-07-05,20169.0,20224.0,20723.0,19290.0
2022-07-04,20224.0,19308.8,20318.0,19056.6
2022-07-03,19308.8,19230.0,19638.0,18774.0
2022-07-02,19230.0,19286.0,19442.0,18994.0
2022-07-01,19286.0,19938.0,20795.0,18993.0
2022-06-30,19938.0,20106.6,20146.1,18643.0
2022-06-29,20106.6,20270.6,20428.0,19886.0
2022-06-28,20267.0,20718.0,21200.0,20204.0
2022-06-27,20718.0,21067.0,21509.4,20551.0
2022-06-26,21067.0,21485.0,21871.3,21000.0
2022-06-25,21485.0,21229.0,21575.0,20899.4
2022-06-24,21229.0,21071.0,21526.0,20704.0
2022-06-23,21071.0,19943.0,21163.0,19866.0
2022-06-22,19943.0,20692.9,20848.0,19739.0
2022-06-21,20692.9,20549.1,21670.0,20341.0
2022-06-20,20554.1,20556.0,20984.0,19628.0
2022-06-19,20556.0,18978.0,20744.0,17950.0
2022-06-18,18978.0,20411.0,20688.0,17611.0
2022-06-17,20411.0,20394.0,21347.0,20254.0
2022-06-16,20394.0,22594.0,22996.0,20253.0
2022-06-15,22594.0,22172.0,22805.0,20089.0
2022-06-14,22172.0,22500.0,23326.0,20873.0
2022-06-13,22487.0,26670.0,26922.3,22017.0
2022-06-12,26670.0,28425.0,28558.3,26640.0
2022-06-11,28425.0,29103.0,29452.0,28138.0
2022-06-10,29103.0,30112.2,30367.0,28864.1
2022-06-09,30112.2,30226.0,30711.8,29957.0
2022-06-08,30230.0,31149.0,31331.0,29887.0
2022-06-07,31149.0,31371.0,31577.0,29231.0
2022-06-06,31371.0,29923.4,31764.0,29907.0
2022-06-05,29923.4,29877.0,30196.0,29541.0
2022-06-04,29877.0,29730.0,29981.0,29506.0
2022-06-03,29730.0,30478.0,30707.0,29346.0
2022-06-02,30478.0,29832.0,30712.0,29620.0
2022-06-01,29832.0,31792.0,31974.0,29354.0
2022-05-31,31792.0,31726.3,32390.8,31220.0
2022-05-30,31726.3,29476.0,32191.0,29310.6
2022-05-29,29476.0,29037.0,29586.0,28851.0
2022-05-28,29037.0,28609.0,29259.0,28528.3
2022-05-27,28609.0,29213.0,29377.8,28267.1
2022-05-26,29213.0,29524.0,29859.2,28005.0
2022-05-25,29524.0,29647.0,30218.0,29345.0
2022-05-24,29647.0,29091.0,29822.0,28690.0
2022-05-23,29091.0,30283.0,30666.0,28868.0
2022-05-22,30283.0,29439.0,30466.0,29253.0
2022-05-21,29439.0,29202.0,29652.0,28963.0
2022-05-20,29202.0,30329.0,30764.0,28713.0
